id_infrator,nome,cpf,telefone,data_nascimento,id_cnh
1,Ana Beatriz Souza,12345678901,48991234567,1990-03-12,1
2,Carlos Eduardo Lima,23456789012,48998765432,1988-07-25,2
3,Mariana Oliveira,34567890123,48999112233,1995-11-04,3
4,Rafael Santos,45678901234,48998223344,1992-01-16,4
5,Fernanda Costa,56789012345,48997334455,1997-06-08,5
6,João Pedro Almeida,67890123456,48996445566,1989-09-20,6
7,Juliana Martins,78901234567,48995556677,1993-02-11,7
8,Lucas Ferreira,89012345678,48994667788,1991-12-02,8
9,Patrícia Gomes,90123456789,48993778899,1996-04-14,9
10,Gabriel Carvalho,11223344556,48992889900,1994-05-18,10
11,Camila Ribeiro,22334455667,48991990011,1992-10-03,11
12,Rodrigo Barros,33445566778,48990011222,1990-07-29,12
13,Letícia Pires,44556677889,48991122334,1998-02-23,13
14,Thiago Nunes,55667788990,48992233445,1987-08-06,14
15,Natália Araújo,66778899001,48993344556,1993-09-09,15
16,Bruno Almeida,77889900112,48994455667,1991-01-27,16
17,Larissa Rocha,88990011223,48995566778,1997-03-30,17
18,Felipe Duarte,99001122334,48996677889,1994-12-19,18
19,Paula Castro,10111213141,48997788990,1990-10-25,19
20,Ricardo Silva,11121314151,48998899001,1989-06-14,20
21,Aline Torres,12131415161,48999900112,1996-08-22,21
22,Daniel Correia,13141516171,48991011223,1992-05-01,22
23,Tatiane Moura,14151617181,48992122334,1997-11-10,23
24,Marcelo Pinto,15161718191,48993233445,1988-04-08,24
25,Vanessa Lopes,16171819202,48994344556,1995-02-17,25
26,Gustavo Andrade,17181920313,48995455667,1991-09-05,26
27,Bianca Freitas,18192031414,48996566778,1998-12-13,27
28,Eduardo Ramos,19203141515,48997677889,1993-06-27,28
29,Priscila Mendes,20212223242,48998788990,1994-01-09,29
30,Diego Teixeira,21222324353,48999899001,1992-10-14,30
31,Renata Figueiredo,22232425364,48990900112,1995-07-21,31
32,Fábio Lopes,23242526375,48991911223,1987-05-05,32
33,Amanda Nascimento,24252627386,48992922334,1999-09-30,33
34,Leandro Souza,25262728397,48993933445,1993-04-02,34
35,Jéssica Carvalho,26272829408,48994944556,1991-02-15,35
36,André Melo,27282930419,48995955667,1996-07-18,36
37,Carla Matos,28293031420,48996966778,1992-11-11,37
38,Vinícius Duarte,29303132421,48997977889,1990-12-30,38
39,Helena Moreira,30313233422,48998988990,1998-08-08,39
40,Roberto Lima,31323334423,48999999001,1989-01-01,40
